[2016-07-28 09:34:22,860][INFO ][node                     ] [Yellowjacket] version[5.0.0-alpha3-SNAPSHOT], pid[10152], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 10:06:01,482][INFO ][env                      ] [Thog] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 10:06:04,217][INFO ][node                     ] [Thog] initialized
[2016-07-28 10:06:04,217][INFO ][node                     ] [Thog] starting ...
[2016-07-28 10:06:04,380][INFO ][transport                ] [Thog] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 10:06:04,385][WARN ][bootstrap                ] [Thog] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 10:06:08,492][INFO ][cluster.service          ] [Thog] new_master {Thog}{sI1MESJJSTmstKpkxuCFUw}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 10:06:08,585][INFO ][http                     ] [Thog] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 10:06:08,585][INFO ][node                     ] [Thog] started
[2016-07-28 10:06:08,802][WARN ][gateway                  ] [Thog] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:06:08,802][INFO ][gateway                  ] [Thog] recovered [1] indices into cluster_state
[2016-07-28 10:06:09,002][WARN ][gateway                  ] [Thog] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:06:09,310][WARN ][gateway                  ] [Thog] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:06:09,359][INFO ][cluster.routing.allocation] [Thog] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][2]] ...]).
[2016-07-28 10:06:09,362][WARN ][gateway                  ] [Thog] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:40:23,695][INFO ][node                     ] [Orb] version[5.0.0-alpha3-SNAPSHOT], pid[11476], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 10:40:23,695][INFO ][node                     ] [Orb] initializing ...
[2016-07-28 10:40:23,703][INFO ][plugins                  ] [Orb] modules [], plugins []
[2016-07-28 10:40:23,743][INFO ][env                      ] [Orb] using [1] data paths, mounts [[OS (C:)]], net usable_space [77.2gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 10:40:23,743][INFO ][env                      ] [Orb] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 10:40:26,319][INFO ][node                     ] [Orb] initialized
[2016-07-28 10:40:26,319][INFO ][node                     ] [Orb] starting ...
[2016-07-28 10:40:26,473][INFO ][transport                ] [Orb] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 10:40:26,481][WARN ][bootstrap                ] [Orb] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 10:40:30,584][INFO ][cluster.service          ] [Orb] new_master {Orb}{zmogYuZ8RgGwnN4QDA12mw}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 10:40:30,664][INFO ][http                     ] [Orb] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 10:40:30,664][INFO ][node                     ] [Orb] started
[2016-07-28 10:40:30,823][WARN ][gateway                  ] [Orb] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:40:30,824][INFO ][gateway                  ] [Orb] recovered [1] indices into cluster_state
[2016-07-28 10:40:30,963][WARN ][gateway                  ] [Orb] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:40:31,200][WARN ][gateway                  ] [Orb] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:40:31,227][INFO ][cluster.routing.allocation] [Orb] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][1]] ...]).
[2016-07-28 10:40:31,230][WARN ][gateway                  ] [Orb] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:03:27,921][INFO ][node                     ] [Jacob "Jake" Fury] version[5.0.0-alpha3-SNAPSHOT], pid[5100], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 11:03:27,922][INFO ][node                     ] [Jacob "Jake" Fury] initializing ...
[2016-07-28 11:03:27,929][INFO ][plugins                  ] [Jacob "Jake" Fury] modules [], plugins []
[2016-07-28 11:03:27,966][INFO ][env                      ] [Jacob "Jake" Fury] using [1] data paths, mounts [[OS (C:)]], net usable_space [77.2gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 11:03:27,966][INFO ][env                      ] [Jacob "Jake" Fury] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 11:03:30,546][INFO ][node                     ] [Jacob "Jake" Fury] initialized
[2016-07-28 11:03:30,547][INFO ][node                     ] [Jacob "Jake" Fury] starting ...
[2016-07-28 11:03:30,715][INFO ][transport                ] [Jacob "Jake" Fury] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 11:03:30,720][WARN ][bootstrap                ] [Jacob "Jake" Fury] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 11:03:34,808][INFO ][cluster.service          ] [Jacob "Jake" Fury] new_master {Jacob "Jake" Fury}{CpAgbYkxRJmi0d25E2UZvQ}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 11:03:34,894][INFO ][http                     ] [Jacob "Jake" Fury] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 11:03:34,894][INFO ][node                     ] [Jacob "Jake" Fury] started
[2016-07-28 11:03:35,069][WARN ][gateway                  ] [Jacob "Jake" Fury] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:03:35,069][INFO ][gateway                  ] [Jacob "Jake" Fury] recovered [1] indices into cluster_state
[2016-07-28 11:03:35,233][WARN ][gateway                  ] [Jacob "Jake" Fury] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:03:35,518][WARN ][gateway                  ] [Jacob "Jake" Fury] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:03:35,580][INFO ][cluster.routing.allocation] [Jacob "Jake" Fury] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][0]] ...]).
[2016-07-28 11:03:35,583][WARN ][gateway                  ] [Jacob "Jake" Fury] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:04:54,477][INFO ][node                     ] [Dreadknight] version[5.0.0-alpha3-SNAPSHOT], pid[4560], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 11:04:54,478][INFO ][node                     ] [Dreadknight] initializing ...
[2016-07-28 11:04:54,487][INFO ][plugins                  ] [Dreadknight] modules [], plugins []
[2016-07-28 11:04:54,523][INFO ][env                      ] [Dreadknight] using [1] data paths, mounts [[OS (C:)]], net usable_space [77.2gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 11:04:54,523][INFO ][env                      ] [Dreadknight] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 11:04:57,061][INFO ][node                     ] [Dreadknight] initialized
[2016-07-28 11:04:57,061][INFO ][node                     ] [Dreadknight] starting ...
[2016-07-28 11:04:57,234][INFO ][transport                ] [Dreadknight] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 11:04:57,242][WARN ][bootstrap                ] [Dreadknight] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 11:05:01,355][INFO ][cluster.service          ] [Dreadknight] new_master {Dreadknight}{KLCayc9oRdaw_7ae9Q8hxA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 11:05:01,429][INFO ][http                     ] [Dreadknight] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 11:05:01,429][INFO ][node                     ] [Dreadknight] started
[2016-07-28 11:05:01,582][WARN ][gateway                  ] [Dreadknight] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:05:01,582][INFO ][gateway                  ] [Dreadknight] recovered [1] indices into cluster_state
[2016-07-28 11:05:01,722][WARN ][gateway                  ] [Dreadknight] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:05:01,961][WARN ][gateway                  ] [Dreadknight] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:05:01,989][INFO ][cluster.routing.allocation] [Dreadknight] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][1]] ...]).
[2016-07-28 11:05:01,992][WARN ][gateway                  ] [Dreadknight] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:55:48,130][INFO ][node                     ] [Wendigo] version[5.0.0-alpha3-SNAPSHOT], pid[10096], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 11:55:48,131][INFO ][node                     ] [Wendigo] initializing ...
[2016-07-28 11:55:48,145][INFO ][plugins                  ] [Wendigo] modules [], plugins []
[2016-07-28 11:55:48,187][INFO ][env                      ] [Wendigo] using [1] data paths, mounts [[OS (C:)]], net usable_space [76.9gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 11:55:48,187][INFO ][env                      ] [Wendigo] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 11:55:55,646][INFO ][node                     ] [Wendigo] initialized
[2016-07-28 11:55:55,646][INFO ][node                     ] [Wendigo] starting ...
[2016-07-28 11:55:55,862][INFO ][transport                ] [Wendigo] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 11:55:55,893][WARN ][bootstrap                ] [Wendigo] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 11:56:00,159][INFO ][cluster.service          ] [Wendigo] new_master {Wendigo}{vXnQaN-KTQ2kG3juv5GV4g}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 11:56:00,243][INFO ][http                     ] [Wendigo] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 11:56:00,243][INFO ][node                     ] [Wendigo] started
[2016-07-28 11:56:00,722][WARN ][gateway                  ] [Wendigo] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:56:00,722][INFO ][gateway                  ] [Wendigo] recovered [1] indices into cluster_state
[2016-07-28 11:56:00,968][WARN ][gateway                  ] [Wendigo] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:56:01,405][WARN ][gateway                  ] [Wendigo] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:56:01,518][INFO ][cluster.routing.allocation] [Wendigo] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][0]] ...]).
[2016-07-28 11:56:01,520][WARN ][gateway                  ] [Wendigo] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:59:04,967][INFO ][node                     ] [Swordsman] version[5.0.0-alpha3-SNAPSHOT], pid[11964], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 11:59:04,968][INFO ][node                     ] [Swordsman] initializing ...
[2016-07-28 11:59:04,976][INFO ][plugins                  ] [Swordsman] modules [], plugins []
[2016-07-28 11:59:05,014][INFO ][env                      ] [Swordsman] using [1] data paths, mounts [[OS (C:)]], net usable_space [76.9gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 11:59:05,014][INFO ][env                      ] [Swordsman] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 11:59:07,532][INFO ][node                     ] [Swordsman] initialized
[2016-07-28 11:59:07,532][INFO ][node                     ] [Swordsman] starting ...
[2016-07-28 11:59:07,701][INFO ][transport                ] [Swordsman] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 11:59:07,708][WARN ][bootstrap                ] [Swordsman] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 11:59:11,788][INFO ][cluster.service          ] [Swordsman] new_master {Swordsman}{tMP3Y4y_T3m8ihA5k5k9zA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 11:59:11,864][INFO ][http                     ] [Swordsman] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 11:59:11,864][INFO ][node                     ] [Swordsman] started
[2016-07-28 11:59:12,026][WARN ][gateway                  ] [Swordsman] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:59:12,026][INFO ][gateway                  ] [Swordsman] recovered [1] indices into cluster_state
[2016-07-28 11:59:12,176][WARN ][gateway                  ] [Swordsman] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:59:12,403][WARN ][gateway                  ] [Swordsman] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 11:59:12,454][INFO ][cluster.routing.allocation] [Swordsman] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][0]] ...]).
[2016-07-28 11:59:12,456][WARN ][gateway                  ] [Swordsman] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 12:36:20,766][INFO ][node                     ] [Mauler] version[5.0.0-alpha3-SNAPSHOT], pid[8636], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 12:36:20,767][INFO ][node                     ] [Mauler] initializing ...
[2016-07-28 12:36:20,774][INFO ][plugins                  ] [Mauler] modules [], plugins []
[2016-07-28 12:36:20,804][INFO ][env                      ] [Mauler] using [1] data paths, mounts [[OS (C:)]], net usable_space [77gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 12:36:20,804][INFO ][env                      ] [Mauler] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 12:36:23,351][INFO ][node                     ] [Mauler] initialized
[2016-07-28 12:36:23,351][INFO ][node                     ] [Mauler] starting ...
[2016-07-28 12:36:23,523][INFO ][transport                ] [Mauler] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 12:36:23,527][WARN ][bootstrap                ] [Mauler] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 12:36:27,635][INFO ][cluster.service          ] [Mauler] new_master {Mauler}{eV0Cuzb3QCCnXHE1TQIXpg}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 12:36:27,712][INFO ][http                     ] [Mauler] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 12:36:27,712][INFO ][node                     ] [Mauler] started
[2016-07-28 12:36:27,874][WARN ][gateway                  ] [Mauler] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 12:36:27,875][INFO ][gateway                  ] [Mauler] recovered [1] indices into cluster_state
[2016-07-28 12:36:28,024][WARN ][gateway                  ] [Mauler] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 12:36:28,268][WARN ][gateway                  ] [Mauler] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 12:36:28,300][INFO ][cluster.routing.allocation] [Mauler] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][1]] ...]).
[2016-07-28 12:36:28,303][WARN ][gateway                  ] [Mauler] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 13:50:49,848][INFO ][node                     ] [Arizona Annie] version[5.0.0-alpha3-SNAPSHOT], pid[10792], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 13:50:49,849][INFO ][node                     ] [Arizona Annie] initializing ...
[2016-07-28 13:50:49,857][INFO ][plugins                  ] [Arizona Annie] modules [], plugins []
[2016-07-28 13:50:49,895][INFO ][env                      ] [Arizona Annie] using [1] data paths, mounts [[OS (C:)]], net usable_space [76.9gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 13:50:49,895][INFO ][env                      ] [Arizona Annie] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 13:50:52,373][INFO ][node                     ] [Arizona Annie] initialized
[2016-07-28 13:50:52,373][INFO ][node                     ] [Arizona Annie] starting ...
[2016-07-28 13:50:52,570][INFO ][transport                ] [Arizona Annie] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 13:50:52,578][WARN ][bootstrap                ] [Arizona Annie] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 13:50:56,684][INFO ][cluster.service          ] [Arizona Annie] new_master {Arizona Annie}{7IWf1ZUVQ5iSa16Nv4XydQ}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 13:50:56,758][INFO ][http                     ] [Arizona Annie] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 13:50:56,758][INFO ][node                     ] [Arizona Annie] started
[2016-07-28 13:50:56,930][WARN ][gateway                  ] [Arizona Annie] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 13:50:56,931][INFO ][gateway                  ] [Arizona Annie] recovered [1] indices into cluster_state
[2016-07-28 13:50:57,104][WARN ][gateway                  ] [Arizona Annie] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 13:50:57,368][WARN ][gateway                  ] [Arizona Annie] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 13:50:57,401][INFO ][cluster.routing.allocation] [Arizona Annie] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][2]] ...]).
[2016-07-28 13:50:57,404][WARN ][gateway                  ] [Arizona Annie] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 13:52:43,653][DEBUG][action.search            ] [Arizona Annie] failed to reduce search
Failed to execute phase [fetch], [reduce] 
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.onFailure(SearchQueryThenFetchAsyncAction.java:156)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.onFailure(ThreadContext.java:438)
	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:39)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at java.lang.Thread.run(Thread.java:745)
Caused by: java.lang.ArrayIndexOutOfBoundsException: 20
	at org.elasticsearch.search.controller.SearchPhaseController.merge(SearchPhaseController.java:664)
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.doRun(SearchQueryThenFetchAsyncAction.java:132)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.doRun(ThreadContext.java:452)
	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:37)
	... 3 more
[2016-07-28 13:52:43,662][WARN ][rest.suppressed          ] path: /products/_search, params: {scroll=1m, index=products}
Failed to execute phase [fetch], [reduce] 
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.onFailure(SearchQueryThenFetchAsyncAction.java:156)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.onFailure(ThreadContext.java:438)
	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:39)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at java.lang.Thread.run(Thread.java:745)
Caused by: java.lang.ArrayIndexOutOfBoundsException: 20
	at org.elasticsearch.search.controller.SearchPhaseController.merge(SearchPhaseController.java:664)
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.doRun(SearchQueryThenFetchAsyncAction.java:132)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.doRun(ThreadContext.java:452)
	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:37)
	... 3 more
[2016-07-28 13:53:59,109][DEBUG][action.search            ] [Arizona Annie] failed to reduce search
Failed to execute phase [fetch], [reduce] 
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.onFailure(SearchQueryThenFetchAsyncAction.java:156)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.onFailure(ThreadContext.java:438)
	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:39)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at java.lang.Thread.run(Thread.java:745)
Caused by: java.lang.ArrayIndexOutOfBoundsException: 20
	at org.elasticsearch.search.controller.SearchPhaseController.merge(SearchPhaseController.java:664)
	at org.elasticsearch.action.search.SearchQueryThenFetchAsyncAction$2.doRun(SearchQueryThenFetchAsyncAction.java:132)
	at org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.doRun(ThreadContext.java:452)
